OTUID,006W4,010W4,014W4,015W4,016W4,017W4,018W4,103W4,104W4,105W4,106W4,107W4,108W4,109W4
4892f891da14927a3757123340696763,254,0,0,84,0,0,98,0,0,96,141,343,0,0
7a9f566a4acbab7a0bf11492ac571d34,0,0,0,0,0,0,0,0,27,0,0,0,0,94
ffdae294d23dec8a1057be1c01a82b00,120,0,0,0,0,0,0,0,0,0,0,0,0,0
5a94ea9f1f429d628fa9158bcc3f3522,249,74,272,0,0,0,83,0,430,319,161,268,88,59
4d3daa3c91ad9dda7d2eabc0e1158e4f,176,0,315,0,0,0,195,0,0,261,0,189,0,0
bf0b91f3de23f64092882b9887a3df88,0,159,0,0,0,0,0,0,416,0,0,0,0,0
cf49d991671be2cf1108345cb1465669,0,0,0,0,0,0,0,0,0,0,0,0,0,91
9ffb5190cf388cbbec7913498475a99c,440,70,130,248,0,143,92,0,221,84,0,0,296,0
b1314ba67a3793fb1e4c677b19108ba9,190,0,0,176,67,0,186,0,124,0,130,0,57,0
405e7a354649f70e195564833ecc68d9,391,260,161,152,0,0,0,0,0,0,0,78,179,191
59b46738c3796eb8a58ef6444318efba,281,76,79,0,90,0,81,0,252,246,159,351,0,159
20d68a0b001be78fb9d679a71bd43f8a,416,162,0,126,0,0,294,0,132,173,173,79,218,100
75729107decd79c5d5e090fcf5dd6755,0,0,148,41,0,0,0,0,0,0,0,0,0,0
4584f9eff6a6695ed421f0610f52d1a8,343,231,55,62,158,0,0,0,0,59,0,101,149,0
7fafc6840f0649b5170fe142f8f936c1,0,0,63,0,0,0,0,0,0,0,0,0,0,0
929d4e9a806320e6189bad0b6e894de2,95,0,0,0,153,0,101,0,173,141,91,157,0,0
c5f24fe13978fd95092e795e9e46fc6c,66,289,0,107,90,0,201,0,0,0,0,136,230,0
cfd37ffa1a70b8fff7b79e58ebcdb405,0,0,101,0,0,0,0,0,0,0,0,0,0,0
8cad557b7e0fd2b410eac540c11cf0bb,0,0,0,0,0,310,0,0,0,212,0,171,0,0
fa9bb40f48ae1ef6b0f6494b3abaf8a6,0,0,0,0,0,0,0,0,0,314,0,0,259,0
feb2dc98b4f1630df7158b754f4486a2,316,86,76,67,50,58,85,0,265,229,143,308,48,127
43adc9217ba723d1bcd2c573d2fb1e4c,396,0,0,0,0,0,0,0,98,161,0,235,0,0
2b2c981ac9beb12f83ab35a415587e97,275,0,0,0,0,0,0,0,147,299,0,82,0,0
ae58b01c1037327da64c582a01b8e5dd,0,0,0,87,0,0,0,0,0,0,0,0,93,0
b9a6ecdc193dfd1f995e0ddbb19ebeb4,0,0,0,0,0,0,0,0,0,0,0,37,0,0
1871e37f08816e92048c77f7fe220b87,0,0,0,0,9,0,0,0,0,0,0,0,0,0
c19a37d32d24511f00ba3485d1220e2d,0,43,0,0,0,0,0,0,42,0,0,0,0,0
95d4e5d77eb28dee70ccfa0b548e56ca,251,0,0,0,0,0,0,0,0,0,0,0,0,0
78d81b00750eaccc6635b070085b4d38,0,0,0,0,0,0,0,0,0,0,0,0,0,102
d5b3e2256181d083769e7cbe2547e843,110,0,0,39,121,0,134,0,135,0,68,0,0,0
81d96525bd015b78acc51a3f06dcf09a,0,0,0,0,0,0,0,0,0,0,0,0,69,0
086605d3d0d8043656f49901477ad105,0,0,0,0,0,0,0,0,0,0,11,0,0,179
2d903c6c2c94274e1fc2dfd05b28aad8,0,0,0,0,0,0,0,0,0,0,0,0,0,47
d94079e1ce9d377c9783282155b2c5ab,131,0,0,134,0,0,112,0,188,0,0,0,0,0
9a33658ad17fc7f1fab1dbab1da6d104,0,0,0,0,0,0,0,0,0,0,0,39,0,0
8b00e04a01f74b43b597b1105c115d4a,392,0,0,0,0,0,312,0,135,170,0,0,0,0
2265096bb1558f3291eb7207029c135d,0,118,0,0,0,0,0,0,0,0,0,0,0,0
3868fe642ad7a297f20fd29db63f1cfc,306,380,145,0,51,163,0,0,0,0,0,0,71,0
929da7566b6d22d1d2a629ece1aba9d9,108,0,0,0,90,0,129,0,123,0,135,0,0,0
89eb05a1116986a85b843ace280b8b2a,0,0,0,0,145,0,0,0,0,0,163,225,0,0
dfe2cf99425be4cfbd386f422a478095,0,0,69,0,0,0,0,0,0,0,0,0,0,0
6f90c898da996a9bea2bf7b02f171032,0,0,0,89,62,0,0,0,105,0,0,0,70,0
29584c306ab826d7ae491dcdb014dcf9,0,0,63,0,0,0,42,0,0,0,0,0,148,0
c7488c1987be6981c5d1c8eddf75bc31,162,70,0,0,0,0,0,0,0,0,0,0,115,0
a56c5895c1a30347be75857701fc2981,122,0,0,60,0,0,85,0,122,106,129,175,0,0
85634307bb92c9097826f0e2d1869ee9,0,0,0,0,0,0,0,0,0,0,0,0,0,68
5df4619d188e7f1c7c250738d0599c89,0,0,0,0,0,52,0,0,0,0,281,0,134,0
725f846f6771fe402c31a8c88b12ac6b,359,239,72,138,69,137,0,0,0,0,0,129,137,0
da71f096ea5972db29858d2944f14fe4,259,83,125,211,0,0,55,0,139,0,0,0,179,0
e82f4792591bd3c02caf1d71f561d11e,122,0,0,0,134,0,115,0,0,186,109,172,0,0
1fb73e68cde6c83644ad262867a0f36a,134,0,0,0,0,0,0,0,0,537,0,118,1673,0
919749aa739f0135e3ed93df54d8966c,0,296,0,169,0,0,0,0,0,417,0,0,1706,0
eaa8dbbe2f4e81801db94c07803f2658,251,138,0,86,102,0,135,0,66,109,162,0,129,135
9c754dedfade8f528831e6ced35ebf20,0,256,0,0,0,0,0,0,0,0,0,0,0,0
46edfcf65339546943ed05cba8a05394,0,0,0,0,0,0,0,0,0,0,68,0,0,0
3eacc6425edd26eae6f2fa158f042ca3,0,0,0,0,0,0,0,0,0,0,0,0,31,0
2227c511b45b224df2385d5b0ba167df,0,0,0,0,0,0,0,0,0,0,0,22,0,0
e08cdc1534af11f87ded2889e9e98d4c,367,101,98,280,0,0,51,0,137,0,0,0,231,0
5eb11f2c8df650c514a9a29540162ffd,0,86,0,195,0,0,0,8,0,0,0,0,114,0
a983799f4843e1a9d165a8bef1235858,0,0,0,0,0,0,0,0,0,0,0,0,0,201
226ab2cdfc058640f626490f6b14d6e6,118,0,0,63,0,0,125,0,73,105,0,0,0,54
1fa4d1bc4fa79be90a75ac329baf1507,0,0,0,132,0,104,0,0,0,0,0,0,0,0
ba124078bf5f5bd1032cb837588a57fe,253,157,0,127,42,0,161,0,55,0,137,71,159,55
3a65b5b5701bd8a1965b6b5d38648dab,233,0,93,185,50,0,67,0,152,119,125,269,0,100
f5240bdfbbfb5d4aaebfeedb19236e02,0,0,0,0,0,0,0,0,0,0,0,31,0,0
e5a0a44e6f8bac62e5da9f52f6cfbaaf,0,0,0,0,116,0,131,0,0,0,170,0,109,0
42562be072d10d6bd37e88dce4ea3023,0,0,0,20,0,0,0,0,0,0,0,0,0,61
306afa2d3e6312a6d8a5df652de56352,140,0,0,0,130,0,137,0,75,0,78,0,0,0
85cfe0f5719b8312f3084304db49e0da,151,0,0,69,41,0,114,0,115,0,0,0,79,0
1035ac0d829f1899b14707aa1bab3dfe,212,65,0,0,0,260,174,0,253,188,257,85,0,0
82bf6a6030c3ec4bc670ee92fb8c75bf,492,0,0,0,0,0,0,0,181,272,0,0,0,0
863f2b53a6ef4611be4a4f454d788523,0,93,0,87,0,0,0,0,0,207,0,175,0,0
b5f7aaea317e895d04a6a0e2d33d4a4b,277,150,0,80,86,0,176,0,79,119,182,52,122,65
b9cd20ee38e0e7699e9dcd7807adc7a3,88,0,0,0,0,0,0,0,0,0,0,0,0,0
22b4b1c846416f504f18b55d843fe1c3,124,0,0,0,78,0,134,0,73,137,84,0,24,0
87b0bcbf72c77a4fd2cff619936b7213,43,0,0,0,0,0,0,0,0,0,0,0,0,53
25c5933dd6bcdb24f654fd12a4a57ca1,0,0,0,0,0,0,0,0,138,0,0,0,0,0
40634fa5230eeac1caad2a1051a1ab8f,0,0,0,0,148,0,139,0,0,0,0,0,141,0
052598d33e54132aea15cd89384a33fc,46,0,0,0,0,0,113,0,0,204,0,217,0,0
d80eaf077afe72a9d1032d2f932e1f52,0,0,0,8,0,0,0,0,0,0,0,0,0,0
d1453db83a1cbf65b59df9193187217d,0,0,0,0,0,0,0,0,0,0,0,0,106,0
5bfe6c5c471790aba34aae36c10771b3,0,0,0,0,0,0,0,0,0,0,0,54,0,0
6dbeaca5516935f0c2e9c8b07aa4d43d,0,0,0,0,25,0,0,0,0,0,0,0,0,0
4ef6fa17dd0193dbc52346608e50dda4,250,0,0,0,0,0,213,0,0,86,0,72,0,0
06be9b3e39b59471ca036a24d95bc37c,0,95,0,199,58,0,103,0,0,0,0,67,144,0
d705300a70b8ff7ae588698fa05eea82,0,0,0,66,153,0,134,0,0,0,73,193,116,0
be2f4e017534fe515003855f432d0cd2,0,144,45,0,269,0,109,0,0,0,0,291,0,0
ef30c8ac907393ad0a378a08d336b35a,0,128,0,0,0,0,0,0,0,0,0,0,0,0
156f27e6da0e7a0990e6a4c5c275531c,140,0,0,0,88,0,140,0,65,0,110,0,0,0
3387ae2a0c84e3c0837e5f2ffb2a69af,0,152,182,0,0,0,0,0,0,0,0,0,0,0
c97b4c2e8a3a7d2c55d96d9e906aa169,0,0,0,0,0,0,0,0,0,22,34,0,0,24
5eaef17adb635ba7b68a67d625ff29a8,156,0,0,0,0,181,82,0,0,0,112,258,0,152
06c455ca1a5e8aaadad3a503698b2c27,0,0,0,0,0,0,0,0,0,0,0,116,0,0
5fe266e2710d52e46fd8d1f52caf4848,249,0,0,0,0,0,80,0,0,0,0,0,0,0
e5403356349f1325ee0334d481f5c845,0,73,0,115,0,0,0,0,0,0,0,0,276,0
98d85850fdc1de580f3305eefb4ae9ea,38,0,0,0,0,0,0,0,0,0,0,0,0,52
c42a72e8c63206c9f10f630d81a08830,187,0,0,40,0,0,0,83,0,0,0,0,0,0
fcec236cf267db7d1be12d7c4bb53841,643,0,0,0,0,0,0,0,0,0,0,0,0,0
b04f955ea68713c6cb1e865222e16b34,232,0,0,90,0,0,65,0,72,0,74,177,0,0
4aa3d0a9c8ea49006cd6c9d4634d4707,38,0,0,0,0,0,0,0,0,0,0,0,0,0
6e15578110449aee7c05b63ace6c2725,0,0,0,0,0,99,0,0,0,0,0,0,219,0
1aba5493e44d6ce3897b656d92f149ed,59,0,0,260,0,0,124,0,0,138,0,240,0,0
8d68758f74b3de6fa71190091edf6fde,130,0,0,77,0,0,103,0,113,0,143,159,0,0
bee1d58137cd8ae3d40034c500055626,0,124,0,0,0,0,0,0,0,0,0,0,0,0
93dd777bb22fdf04e43d0617bb1c19c4,0,0,0,0,0,0,0,0,0,698,0,0,1047,0
faafc307e940d9827930c97ae73275b2,0,0,0,0,0,0,0,0,0,0,0,0,12,0
