OTUID,S1,S6,S10,S11,S12,S14,S16,S17,S18,S20,S23,S25,S26,S27
34d151bcbcf3e6e101dc5f8b9d362ef3,0,151,0,0,0,0,0,0,0,51,0,0,0,0
1fe4ff4e04a0678740826aab52d8c68a,0,0,21,0,0,0,0,13,0,0,0,0,241,0
52668855f7865c0b8c2e6646f7560b70,0,0,0,0,0,0,28,0,0,68,0,0,0,0
c3a58592f8da16827a568df937c7f0b7,0,0,0,0,0,0,99,0,0,0,0,102,0,12
955b72139887fe69addb348e26909657,0,0,0,0,0,0,105,0,0,84,0,0,0,0
8848cc5603eaef4a0eda337e2d7ed879,0,0,0,0,0,0,0,0,0,0,0,67,278,0
8d00d522295a211e92ee4b3d6a8fb0a8,0,49,0,0,0,0,0,0,0,0,0,106,0,0
56a4ecfbd6479509f08a37e342c0a33e,0,185,0,0,0,0,0,0,0,0,0,0,96,0
da5cfd6fa84d0bbd10398f42ba81de91,0,0,0,0,0,0,155,0,0,69,0,0,0,0
1815f7c40b56097941ccc7751bbf5dd0,0,0,0,0,0,0,127,0,0,0,0,0,258,0
29b2088867c181f54bb3cbbab51b4026,0,0,0,0,0,0,99,0,0,132,0,0,0,0
96346202e9caff7a180454eba4b2232d,0,170,0,0,0,0,97,0,0,0,0,0,0,0
b72928f77914cf7c53ae9dcafc5fbb80,0,0,0,0,0,0,88,0,0,127,0,0,0,0
d08da8e8708b8187bbcc5fd71e39d7d4,0,0,0,117,0,0,55,0,0,0,0,0,0,0
fcb26c4829127c3d890260c024724a71,0,93,0,0,0,0,0,0,0,0,0,0,183,0
e2c95b049bfe5e5f113e9d8571e3995c,0,58,0,0,0,0,0,0,36,0,0,0,0,0
228b0716951c3aec256d73a2eaeb0a76,0,0,0,0,0,0,114,0,0,64,0,0,0,0
64ed7cde08bf8934db5c0d3b48505b9d,0,212,84,0,0,0,0,0,0,0,0,0,0,0
4ae4af5f7066ae87a3c2455a08427c51,0,0,0,0,0,0,0,0,0,343,0,0,0,59
8013c3affec7def4c38d26711fcf2c82,0,0,0,0,0,0,79,0,0,139,0,0,0,0
7d457d15d97700fabd386ad329112e6e,0,0,0,0,0,0,156,0,107,0,0,0,0,0
ac8c609d1ec7d58b494a92306c7d7f9d,0,0,0,0,0,0,0,0,274,16,0,0,0,0
3ede9cc1afeea71fad3903071d09e7c3,36,0,0,0,0,0,0,0,0,0,0,139,0,0
17c16acf71ae319d7c1596695bf1af4b,0,133,0,0,0,0,0,0,0,0,0,0,0,102
c48586143dcb3edcb8d74ba570707302,0,0,70,0,0,0,0,0,240,0,0,0,0,0
8ff16aad73917b563718767968f4e33b,0,0,0,74,0,0,59,0,0,106,0,0,0,0
c02967009ff097963618d1bc82831cf6,0,0,0,0,88,46,0,0,0,0,0,0,0,0
abccc92d592841f49257c724e7dd7697,0,0,0,0,0,0,97,0,0,148,0,0,0,0
c383cfcee541773eff7ab00ff076dfa0,0,148,0,0,0,0,0,0,0,0,0,103,0,0
3e90e67a8fe216e96a6a1d59918698e7,0,111,0,0,0,0,0,0,0,0,0,0,0,107
53197a6682fd233c5943455f7d1d98e7,0,87,0,0,0,0,0,0,0,0,0,49,0,0
7215411f4b25c87b0f5aa8191ef0e58c,0,71,0,0,0,0,0,0,0,0,0,236,0,0
7feb6506226326c36881c9d73bd0e02b,0,0,0,0,0,89,0,0,0,0,0,60,0,0
9afbe42f125ebacc08fa8d976f6fddd3,0,0,0,230,0,0,99,0,0,0,0,0,0,0
b665ee69778f865fe7544ca1abf8b71c,0,0,35,16,0,0,0,0,0,0,0,0,0,0
11a913c54257263701835ffbc10e9ce4,0,0,0,0,0,0,0,0,0,64,0,0,212,0
ba1c72a61182c04198f13487a5808fcc,0,0,0,0,0,0,87,0,0,0,0,0,23,0
1799f118b30a7a8173bf74cef60faf4a,30,0,0,0,0,0,0,0,29,0,0,0,0,0
22ecdc6da0b71d9461abef25acbf6293,0,105,52,0,0,0,0,0,0,53,0,0,0,0
b46a87550404998c9a1a576cefa8c21c,0,0,0,0,0,0,0,0,0,77,0,129,0,0
96f04875f70c77ff7990b24e475054ef,0,0,0,0,0,0,0,0,0,0,0,42,92,0
40d36e83dc9ce2299aa71467eb11c9f6,0,0,0,37,0,0,132,0,0,0,0,0,0,0
1fd227813553e35704665b6c6defa05d,0,0,0,0,0,0,0,0,0,0,0,0,55,74
d020910d8aa380e9744f7356410b9977,0,0,0,0,0,0,0,0,0,39,32,0,0,0
b956f7f3df83c8ee71937c90304ffc3a,19,0,0,0,0,0,0,0,169,0,0,0,0,0
11f865cc326024610b63520e1ecbb108,0,0,0,0,0,0,0,0,0,0,64,0,78,0
2056586fa2706a00b7224a28bbcceef4,0,0,0,0,0,0,0,4,0,0,0,35,0,8
20a579e3d9f94018e6b33339c9f00ead,47,0,9,0,0,0,0,0,0,0,0,0,0,0
6dcd1fe442dc19388d73d462c275578a,0,0,0,0,0,0,10,0,0,0,0,0,34,0
bb66e8c0faececd39a3383bac1271b0a,0,0,0,0,55,0,57,0,0,0,0,0,0,0
7ee207de9cf5f98761607b6bedd362d7,0,0,0,0,0,0,50,0,0,0,32,0,0,0
f4e058c87f4f673c032ce2d63ac5bfeb,0,0,13,0,0,0,0,0,0,0,0,0,79,0
928421d68b22454ae1980f6ff9e298ee,0,0,0,0,0,0,0,0,18,0,0,0,0,170
63e7484ee220ebd556bee9803bcaa3b6,0,0,0,122,0,0,33,0,0,0,0,0,0,0
d55c8eb8a14ca6c9c170d80d0860ec95,0,0,0,0,0,0,57,0,0,0,0,0,6,0
f747451b0489b0a8e108d03048488893,0,0,6,0,0,0,0,0,0,0,0,93,0,0
c0349091a88dd65e5e4fc11bebb52d22,0,0,0,0,0,0,21,0,0,30,0,0,0,0
04143cf6e815d2ea211547cb1c9d8ba5,0,0,0,0,0,0,0,0,0,0,0,27,0,9
