OTUID,S6,S10,S11,S15,S22,S23,S25,S26,S28
7fafc6840f0649b5170fe142f8f936c1,321,0,0,0,0,0,0,0,179
929d4e9a806320e6189bad0b6e894de2,0,0,0,0,0,0,0,0,25
cfd37ffa1a70b8fff7b79e58ebcdb405,178,0,0,580,0,0,0,0,0
8cad557b7e0fd2b410eac540c11cf0bb,147,0,0,0,0,0,0,0,0
fa9bb40f48ae1ef6b0f6494b3abaf8a6,196,0,0,0,0,0,0,0,0
78279aae20040455e0fb725fae667e20,0,1225,0,0,0,0,204,0,0
1871e37f08816e92048c77f7fe220b87,0,0,0,0,0,0,252,0,0
78d81b00750eaccc6635b070085b4d38,0,0,0,0,0,0,213,0,0
81d96525bd015b78acc51a3f06dcf09a,0,0,0,92,0,0,0,0,0
c83de1fa8644cae296fb81c7d0b1c95b,0,0,0,345,0,53,0,0,0
2d903c6c2c94274e1fc2dfd05b28aad8,0,0,0,0,0,0,0,0,106
4509f00c097d6ac06e787fdf4291c972,0,0,0,264,0,70,136,0,0
ced624ac539da0734ca9540b5bb3641e,165,0,0,0,0,0,288,0,0
8b00e04a01f74b43b597b1105c115d4a,0,0,148,0,0,0,0,0,0
3868fe642ad7a297f20fd29db63f1cfc,0,0,154,0,0,0,186,0,0
929da7566b6d22d1d2a629ece1aba9d9,0,0,0,90,0,0,0,0,0
45525b523123092150ab625cf4623871,0,0,0,365,0,48,259,0,29
fbb85f17c64ed9bb27d2f0c2575cb904,0,243,0,0,0,0,0,0,0
29584c306ab826d7ae491dcdb014dcf9,0,187,99,556,0,0,0,0,0
3072a3979318827a5b097f865f24bb49,0,0,0,0,0,0,0,84,0
c7488c1987be6981c5d1c8eddf75bc31,210,0,0,0,0,0,0,0,0
a56c5895c1a30347be75857701fc2981,0,0,142,249,0,42,0,0,0
8f2dcc106747d7331073ac3b911636cc,0,0,0,381,0,0,0,0,0
8c31fd1098cb649d62fb10d46936eda8,0,0,107,0,0,266,0,0,106
5df4619d188e7f1c7c250738d0599c89,0,0,0,14,0,0,0,0,0
f54e3c53635b99eeadec917131cabc3b,0,0,0,0,0,0,34,0,0
da71f096ea5972db29858d2944f14fe4,216,0,0,0,0,0,0,0,0
539e25a5a201b84963c987f9b452bbf9,0,0,9,185,0,96,0,0,0
7e2577e49e9dc501712655afebf4b2fb,465,0,0,0,0,0,394,0,0
9c754dedfade8f528831e6ced35ebf20,0,23,0,0,0,0,0,0,0
46edfcf65339546943ed05cba8a05394,61,0,0,283,0,0,0,0,0
4a13064812d93b43916426da9664af74,367,0,0,0,0,0,0,0,0
