OTUI,006W2,012W2,014W2,015W2,016W2,017W2,018W2,103W2,104W2,105W2,107W2,108W2,109W2
43adc9217ba723d1bcd2c573d2fb1e4c,182,0,0,0,0,0,0,0,0,0,0,0,0
2b2c981ac9beb12f83ab35a415587e97,298,0,0,0,0,0,0,0,0,0,0,0,0
b9a6ecdc193dfd1f995e0ddbb19ebeb4,0,0,0,0,0,0,0,0,0,0,0,0,186
1871e37f08816e92048c77f7fe220b87,0,0,0,0,23,0,0,0,0,0,0,270,134
95d4e5d77eb28dee70ccfa0b548e56ca,549,0,0,0,0,0,0,0,0,0,0,0,0
78d81b00750eaccc6635b070085b4d38,0,0,0,0,0,0,0,0,0,0,0,0,74
d5b3e2256181d083769e7cbe2547e843,0,0,0,0,91,0,0,0,0,0,0,0,0
c83de1fa8644cae296fb81c7d0b1c95b,0,0,0,0,0,0,0,60,0,0,0,0,0
086605d3d0d8043656f49901477ad105,0,0,0,0,0,0,0,0,0,0,0,0,256
2d903c6c2c94274e1fc2dfd05b28aad8,0,0,0,0,0,0,0,0,0,0,0,0,286
4509f00c097d6ac06e787fdf4291c972,0,0,59,0,0,0,0,60,0,0,0,0,0
d94079e1ce9d377c9783282155b2c5ab,0,0,0,0,143,0,0,0,0,0,0,0,0
ced624ac539da0734ca9540b5bb3641e,0,0,0,0,118,0,0,0,0,0,0,0,0
8b00e04a01f74b43b597b1105c115d4a,126,0,0,0,0,0,0,0,0,0,0,0,0
3868fe642ad7a297f20fd29db63f1cfc,0,0,0,0,189,0,0,0,0,0,0,0,0
929da7566b6d22d1d2a629ece1aba9d9,0,0,0,0,87,0,0,0,0,0,0,0,0
89eb05a1116986a85b843ace280b8b2a,274,0,0,0,132,0,0,0,0,0,0,0,0
dfe2cf99425be4cfbd386f422a478095,123,108,0,0,186,0,0,0,0,0,0,0,0
45525b523123092150ab625cf4623871,0,0,19,0,0,0,0,0,0,0,0,41,0
fbb85f17c64ed9bb27d2f0c2575cb904,171,0,0,110,0,0,0,0,0,0,0,0,0
6f90c898da996a9bea2bf7b02f171032,0,0,0,0,267,0,0,0,0,0,0,89,0
3072a3979318827a5b097f865f24bb49,154,0,0,0,0,0,0,0,0,0,191,0,0
c7488c1987be6981c5d1c8eddf75bc31,153,0,0,0,0,0,0,0,0,0,0,0,0
a56c5895c1a30347be75857701fc2981,142,0,0,0,0,0,0,0,0,0,0,0,0
8f2dcc106747d7331073ac3b911636cc,0,0,0,0,0,0,0,131,0,0,0,0,0
8c31fd1098cb649d62fb10d46936eda8,0,0,95,0,0,0,0,0,0,0,0,0,0
f54e3c53635b99eeadec917131cabc3b,0,0,0,0,66,0,0,0,0,0,0,0,0
da71f096ea5972db29858d2944f14fe4,197,0,100,0,0,0,0,0,0,0,0,0,0
539e25a5a201b84963c987f9b452bbf9,39,0,0,0,0,0,0,0,0,0,0,0,0
1fb73e68cde6c83644ad262867a0f36a,0,0,0,0,0,0,0,0,0,0,0,35,0
919749aa739f0135e3ed93df54d8966c,0,0,10,0,0,0,0,0,0,0,0,0,0
eaa8dbbe2f4e81801db94c07803f2658,0,0,0,0,175,0,0,0,0,0,0,0,0
9c754dedfade8f528831e6ced35ebf20,0,0,0,0,0,0,0,0,0,0,0,0,42
46edfcf65339546943ed05cba8a05394,0,0,0,0,0,0,0,0,0,0,0,0,31
abd23d23cb9ba820e975b1115de9994a,0,0,0,0,0,0,0,83,0,0,99,0,0
4a13064812d93b43916426da9664af74,0,0,0,0,93,0,0,192,0,0,0,0,0
4ffe7a36d3e9b9147a697b6391bb1a17,270,0,0,0,0,0,74,0,0,0,157,0,0
e08cdc1534af11f87ded2889e9e98d4c,139,0,0,0,0,0,0,0,0,0,0,0,0
a983799f4843e1a9d165a8bef1235858,0,0,0,0,0,0,72,0,0,0,0,0,0
1fa4d1bc4fa79be90a75ac329baf1507,0,0,0,0,112,0,0,116,0,0,0,0,0
3a65b5b5701bd8a1965b6b5d38648dab,0,0,0,0,56,0,0,0,0,0,0,0,0
f5240bdfbbfb5d4aaebfeedb19236e02,0,66,0,15,0,0,0,0,0,0,0,0,0
6889a4f7c0d5b054d3757ca3c9c883ce,0,0,0,0,74,0,0,0,0,0,0,60,0
e5a0a44e6f8bac62e5da9f52f6cfbaaf,0,0,0,0,146,0,0,0,0,0,0,0,0
42562be072d10d6bd37e88dce4ea3023,0,0,0,0,0,0,0,0,0,0,0,0,134
306afa2d3e6312a6d8a5df652de56352,0,0,0,0,99,0,0,0,0,0,0,0,0
85cfe0f5719b8312f3084304db49e0da,69,40,0,0,0,0,0,0,0,0,0,0,0
82bf6a6030c3ec4bc670ee92fb8c75bf,201,0,0,0,0,0,0,0,0,0,0,0,0
863f2b53a6ef4611be4a4f454d788523,309,0,0,0,0,0,0,0,0,0,0,0,0
7dceb3546dc25073d67b411416370126,0,0,0,0,0,0,0,0,0,0,33,0,0
fc2aceb6ee2d8b363a05f2035fd5a9db,160,0,0,0,0,0,0,0,92,0,0,0,0
22b4b1c846416f504f18b55d843fe1c3,39,0,0,0,64,0,0,0,0,0,0,0,0
27e6f176dd1e70fef1a9f755b4890db1,0,0,32,0,0,0,0,0,0,0,0,0,0
87b0bcbf72c77a4fd2cff619936b7213,0,0,0,0,0,0,0,0,0,0,0,0,167
40634fa5230eeac1caad2a1051a1ab8f,0,0,0,0,139,0,0,0,0,0,0,0,0
d80eaf077afe72a9d1032d2f932e1f52,36,0,150,0,0,0,0,0,0,0,20,0,0
d1453db83a1cbf65b59df9193187217d,0,0,0,92,0,0,0,0,66,0,0,0,61
6dbeaca5516935f0c2e9c8b07aa4d43d,161,0,0,0,0,0,0,0,0,0,141,0,0
4ef6fa17dd0193dbc52346608e50dda4,234,0,0,0,0,0,0,0,0,0,0,0,0
ef30c8ac907393ad0a378a08d336b35a,0,0,54,0,0,0,0,0,0,0,11,0,0
156f27e6da0e7a0990e6a4c5c275531c,0,0,0,0,72,0,0,0,0,0,0,0,0
3387ae2a0c84e3c0837e5f2ffb2a69af,313,0,0,0,0,0,0,0,0,0,0,0,0
c97b4c2e8a3a7d2c55d96d9e906aa169,0,0,0,0,0,0,0,0,0,0,0,0,42
2219184f554b7ef1fdcce364ed40c146,212,0,0,72,0,0,0,0,0,0,0,0,0
5eaef17adb635ba7b68a67d625ff29a8,0,0,0,0,116,0,0,0,0,0,0,0,0
